frame_no,x,y,fit_quality
0,636,517,0.981487
1,636,517,0.981678
2,636,517,0.98009
3,639,512,0.992107
4,639,512,0.99094
5,636,517,0.981738
6,636,519,0.975979
7,637,516,0.981054
8,636,516,0.978955
9,636,517,0.980806
10,636,516,0.977086
11,636,517,0.981115
12,636,517,0.981515
13,636,517,0.980836
14,637,516,0.984466
15,637,516,0.983745
16,637,516,0.982
17,636,516,0.981178
18,639,512,0.991
19,639,512,0.991636
20,637,515,0.982908
21,637,516,0.982039
22,636,516,0.981763
23,636,518,0.978439
24,636,516,0.981512
25,636,517,0.98154
26,636,516,0.981162
27,636,517,0.980916
28,637,516,0.983768
29,636,517,0.982095
30,636,516,0.982174
31,636,516,0.982207
32,636,516,0.982331
33,639,513,0.993008
34,639,512,0.991421
35,637,515,0.98182
36,639,512,0.991597
37,636,516,0.980589
38,636,516,0.980896
39,636,518,0.978727
40,637,516,0.981617
41,636,516,0.982438
42,636,516,0.982806
43,636,517,0.979949
44,636,517,0.979485
45,636,517,0.982486
46,636,516,0.983105
47,636,516,0.981203
48,636,518,0.979819
49,636,516,0.980653
50,636,517,0.982014
51,636,517,0.982081
52,636,517,0.981919
53,636,517,0.982396
54,636,516,0.976066
55,637,516,0.975156
56,636,518,0.978138
57,637,514,0.979583
58,636,516,0.98223
59,637,516,0.978299
60,637,515,0.97697
61,636,516,0.982421
62,636,516,0.980866
63,636,518,0.976019
64,636,517,0.981105
65,636,517,0.974874
66,636,517,0.979389
67,636,517,0.979
68,636,516,0.982076
69,636,517,0.979608
70,636,516,0.978918
71,637,516,0.981313
72,636,516,0.97668
73,639,512,0.992384
74,639,511,0.990881
75,637,516,0.9798
76,636,516,0.981288
77,639,512,0.993721
78,639,512,0.991358
79,639,511,0.990592
80,636,517,0.979559
81,639,512,0.99309
82,636,518,0.97675
83,639,511,0.991261
84,639,511,0.990391
85,639,512,0.992436
86,638,512,0.991777
87,639,513,0.992524
88,636,516,0.979524
89,639,512,0.993204
90,639,512,0.994001
91,636,516,0.982321
92,636,516,0.981865
93,639,511,0.99458
94,638,512,0.99317
95,639,512,0.99422
96,639,512,0.993576
97,636,517,0.979771
98,636,517,0.982203
99,636,516,0.983123
100,639,512,0.993169
101,635,518,0.972648
102,636,516,0.977234
103,635,519,0.972607
